Christmas Tree
0
16
(15,25)
(30,503)
(84,78)
(125,468)
(188,125)
(240,420)
(302,152)
(357,388)
(401,175)
(449,344)
(483,190)
(543,315)
(557,208)
(613,286)
(663,215)
(757,257)

