Spiral
0
24
(841,9)
(4,6)
(4,527)
(846,531)
(844,21)
(14,17)
(13,511)
(835,519)
(830,36)
(24,30)
(25,495)
(821,504)
(813,54)
(41,45)
(36,482)
(807,494)
(804,65)
(55,58)
(46,466)
(794,482)
(791,74)
(71,71)
(60,452)
(783,471)
