Tornado
1
214
(789,25)
(763,27)
(697,21)
(594,23)
(518,32)
(506,33)
(474,36)
(789,25)
(763,27)
(697,21)
(594,23)
(518,32)
(506,33)
(474,36)
(789,25)
(763,27)
(697,21)
(594,23)
(518,32)
(506,33)
(474,36)
(789,25)
(763,27)
(697,21)
(594,23)
(518,32)
(506,33)
(474,36)
(789,25)
(763,27)
(697,21)
(594,23)
(518,32)
(506,33)
(474,36)
(789,25)
(763,27)
(697,21)
(594,23)
(518,32)
(506,33)
(474,36)
(789,25)
(763,27)
(697,21)
(594,23)
(518,32)
(506,33)
(474,36)
(789,25)
(763,27)
(697,21)
(594,23)
(518,32)
(506,33)
(474,36)
(789,25)
(763,27)
(697,21)
(594,23)
(518,32)
(506,33)
(474,36)
(789,25)
(763,27)
(697,21)
(594,23)
(518,32)
(506,33)
(474,36)
(789,25)
(763,27)
(697,21)
(594,23)
(518,32)
(506,33)
(474,36)
(789,25)
(763,27)
(697,21)
(594,23)
(518,32)
(506,33)
(474,36)
(789,25)
(763,27)
(697,21)
(594,23)
(518,32)
(506,33)
(474,36)
(789,25)
(763,27)
(697,21)
(594,23)
(518,32)
(506,33)
(474,36)
(406,47)
(318,54)
(220,85)
(187,116)
(143,167)
(119,238)
(123,247)
(43,415)
(57,378)
(41,448)
(56,459)
(64,507)
(135,515)
(190,511)
(235,513)
(314,521)
(382,516)
(490,499)
(537,491)
(588,468)
(613,438)
(642,407)
(686,336)
(727,280)
(742,247)
(760,214)
(775,184)
(784,150)
(796,120)
(806,101)
(808,81)
(812,64)
(813,50)
(817,46)
(424,155)
(350,244)
(295,341)
(391,326)
(521,245)
(582,324)
(520,358)
(345,394)
(240,323)
(242,241)
(314,165)
(176,183)
(171,310)
(208,384)
(274,428)
(321,428)
(422,406)
(608,243)
(625,200)
(500,137)
(363,96)
(268,93)
(156,90)
(98,98)
(78,148)
(80,189)
(122,255)
(162,332)
(208,392)
(249,445)
(304,462)
(459,507)
(557,524)
(641,517)
(718,442)
(748,362)
(772,239)
(774,138)
(728,113)
(619,68)
(507,27)
(442,29)
(252,13)
(178,22)
(98,38)
(83,74)
(43,177)
(45,278)
(62,277)
(87,373)
(133,425)
(216,446)
(356,483)
(527,486)
(665,448)
(724,363)
(785,222)
(791,158)
(202,51)
(132,40)
(68,24)
(68,24)
(56,48)
(44,190)
(797,278)
(805,158)
(803,118)
(803,102)
(796,78)
(786,62)
(755,55)
(676,36)
(604,36)
(513,22)
(439,24)
(356,22)
(313,24)
(204,20)
(107,24)
(72,57)
(62,90)
(55,124)
